,Nombre de la entidad,Clave de municipio o demarcacion territorial,Nombre del municipio o demarcacion territorial,Clave de localidad,Nombre de la localidad,Clave de AGEB,Clave de la manzana,Poblacion de 65 años y mas,Poblacion de 18 a 24 años,Poblacion de 15 a 17 años,Poblacion nacida en la entidad,Poblacion nacida en otra entidad,Poblacion de 3 años y más que habla alguna lengua indígena,Poblacion que se considera afromexicana o afrodescendiente,Poblacion con discapacidad,Poblacion con limitacion,Poblacion de 6 a 11 años que no asiste a la escuela,Poblacion de 12 a 14 años que no asiste a la escuela,Poblacion de 8 a 14 años que no sabe leer y escribir,Poblacion de 15 años y más analfabeta,Poblacion de 15 años y más sin escolaridad,Poblacion de 15 años y más con primaria incompleta,Poblacion de 12 años y más desocupada,Poblacion sin afiliacion a servicios de salud,Poblacion afiliada a servicios de salud,Poblacion de 12 años y más soltera o nunca unida,Poblacion de 12 años y más que estuvo casada o unida,Poblacion con religion catolica,Poblacion con otras religiones diferentes a las anteriores,Poblacion sin religion o sin adscripcion religiosa,Hogares censales con persona de referencia hombre,Hogares censales con persona de referencia mujer,Viviendas particulares habitadas con piso de tierra,Viviendas particulares habitadas con un dormitorio,Viviendas particulares habitadas que disponen de agua entubada y se abastecen del servicio publico de agua,"Viviendas particulares habitadas que no disponen de automovil o camioneta, ni de motocicleta o motoneta",Viviendas particulares habitadas sin radio ni televisor,Viviendas particulares habitadas sin línea telefonica fija ni teléfono celular,Viviendas particulares habitadas sin computadora ni Internet,Viviendas particulares habitadas sin tecnologías de la informacion y de la comunicacion (TIC)
0,Nuevo León,6,Apodaca,1,Ciudad Apodaca,460,21,14,27,8,148,47,0,0,9,20,0,0,0,7,5,14,0,42,153,50,28,170,0,11,24,20,0,9,44,25,0,6,14,0
1,Nuevo León,6,Apodaca,1,Ciudad Apodaca,460,22,29,24,6,108,57,5,0,12,27,0,0,0,6,9,26,0,28,138,44,34,144,0,10,27,16,0,4,43,25,0,3,18,0
2,Nuevo León,6,Apodaca,1,Ciudad Apodaca,460,23,22,20,7,128,41,0,0,0,18,0,0,0,5,5,17,0,33,136,47,25,148,0,8,24,19,0,6,43,30,0,5,12,0
3,Nuevo León,6,Apodaca,1,Ciudad Apodaca,460,24,14,15,5,82,25,4,0,0,6,0,0,0,4,4,9,0,15,93,30,19,97,0,0,15,11,0,4,26,11,0,5,6,0
4,Nuevo León,6,Apodaca,1,Ciudad Apodaca,460,25,8,10,0,56,8,0,3,0,3,0,0,0,0,3,6,0,0,64,20,0,56,0,0,13,6,0,5,19,10,0,0,6,0
5,Nuevo León,6,Apodaca,1,Ciudad Apodaca,460,26,17,25,3,126,23,0,0,3,10,0,0,0,0,3,0,0,42,107,45,24,123,0,9,21,20,0,6,41,19,0,0,8,0
6,Nuevo León,6,Apodaca,1,Ciudad Apodaca,460,27,21,14,5,121,26,0,0,0,5,0,0,0,0,0,5,0,32,116,40,18,106,0,4,21,22,0,6,43,15,0,0,7,0
7,Nuevo León,6,Apodaca,1,Ciudad Apodaca,460,28,13,6,0,84,6,0,0,0,0,0,0,0,0,0,9,0,3,87,27,3,75,0,0,21,7,0,5,28,9,0,0,6,0
8,Nuevo León,6,Apodaca,1,Ciudad Apodaca,460,29,6,8,0,75,10,0,0,3,3,0,0,0,0,0,0,0,12,73,16,17,79,0,0,13,9,0,0,22,9,0,0,4,0
9,Nuevo León,6,Apodaca,1,Ciudad Apodaca,460,30,12,13,3,97,26,0,0,5,6,0,0,0,0,0,6,0,37,86,40,12,89,0,9,23,9,0,4,32,11,0,0,3,0
10,Nuevo León,6,Apodaca,1,Ciudad Apodaca,460,31,8,11,7,89,29,0,9,4,20,0,0,0,0,0,0,0,26,94,31,10,93,0,17,25,10,0,5,35,12,0,0,7,0
